Question,A,B,C,Correct answer
Τι σημαίνει βύθισμα;,Η κατακόρυφη απόσταση από την επιφάνεια της θάλασσας ως την τρόπιδα του πλοίου.,Η κατακόρυφη απόσταση από την επιφάνεια της θάλασσας ως τον πυθμένα.,Το ύψος του πλοίου.,A
Κατά την επιστροφή στο λιμάνι:,Πλέουμε σιγά και με προσοχή.,Χειρίζουμε κατάλληλα.,Είμαστε σε ετοιμότητα για να χειρίσουμε κατάλληλα και ήρεμα.,C
Κουμπάσο (Ναυτικός Διαβήτης) είναι:,Όργανο που μετράει την πορεία του σκάφους.,Όργανο που μετράμε τις αποστάσεις στο ναυτικό χάρτη.,Ναυτική πυξίδα.,B
Αυτοί που χειρίζονται ταχύπλοα σκάφη οφείλουν:,"Να επιτρέπουν να μπαίνουν στα σκάφη τους άτομα που δεν γνωρίζουν κολύμβηση, εφόσον φέρουν σωσίβια.","Να επιτρέπουν σε άτομα που έχουν κάνει χρήση αλκοόλ, μόνο εφόσον κάθονται προσδεμένοι.",Να απαγορεύουν να μπαίνουν στα σκάφη του άτομα μεθυσμένα ή άτομα που δεν γνωρίζουν κολύμβηση.,C
Στην κλίμακα έντασης άνεμου πέντε (5) μποφόρ το ύψος κύματος είναι:,"1,25 - 2,25 μέτρα.","1,25 - 2,50 μέτρα.","2,50 - 4,00 μέτρα.",B
Κατά την αγκυροβολία πρέπει να αποφεύγεται:,Ο αμμώδης βυθός.,Ο λασπώδης βυθός.,Ο βραχώδης βυθός.,C
Η κυκλοφορία των ταχυπλόων σκαφών απαγορεύεται:,"100 μέτρα από πλαζ που είναι φυλασσόμενες (έχουν σημαδούρες), 200 μέτρα από τo συνηθισμένο σημείο των λουομένων και 200 μέτρα από τις ακτές με ταχύτητα άνω των 5 κόμβων.","200 μέτρα από τις σημαδούρες, 300 μέτρα από το συνηθισμένο σημείο των λουομένων και 500 μέτρα από τις ακτές.",100 μέτρα από τις ακτές.,A
Ο Διεθνής Κανονισμός Αποφυγής Σύγκρουσης (ΔΚΑΣ) ισχύει:,Σε όλα τα λιμάνια του κόσμου.,Στην ανοικτή ελληνική θάλασσα.,"Τόσο στην ανοικτή θάλασσα όσο και στα νερά, που επικοινωνούν με την θάλασσα.",C
Όταν ο κινητήρας δεν χρησιμοποιείται έστω και για λίγο καιρό:,Πρέπει να μένει καύσιμο στα καρμπυρατέρ για να μην στεγνώσουν.,Δεν πρέπει να μένει καύσιμο στα καρμπυρατέρ.,Κανένα από τα a και b.,B
Κατά την διάρκεια του πλου ο χειριστής:,Πρέπει να είναι σε διαρκή ετοιμότητα.,Πρέπει να χειρίζει σιγά αν υπάρχει κίνδυνος.,Πρέπει να βασίζεται στα όργανα του σκάφους.,A
Ακυβέρνητο πλοίο την ημέρα πρέπει να επιδεικνύει:,Τρεις μαύρες σφαίρες σε περίβλεπτο σημείο.,Δύο κώνους με τις μύτες ενωμένες.,Δύο μαύρες σφαίρες σε περίβλεπτο σημείο.,C
Σε περίπτωση αμφιβολίας για σύγκρουση ο χειριστής εκτιμά ότι:,Υπάρχει.,Δεν είναι σίγουρος.,Δεν υπάρχει.,A
Τι χρώμα καπνό βγάζει το καπνογόνο;,Πορτοκαλί.,Γκρι.,Άσπρο.,A
Αλιευτικό πλοίο την ημέρα πρέπει να επιδεικνύει:,Δύο μαύρες σφαίρες σε περίβλεπτο σημείο.,Δύο κώνους με τις μύτες ενωμένες.,Ένα μαύρο κώνο.,B
Αν δύο πλοία συναντηθούν σε πορείες αντίθετες ή σχεδόν αντίθετες με κίνδυνο σύγκρουσης:,Θα χειριστούν και τα δύο δεξιά.,Θα χειριστούν το ένα δεξιά και το άλλο αριστερά.,Χειρίζουν κανονικά στην πορεία τους.,A
Κάθε προσαραγμένο πλοίο τη νύχτα επιδεικνύει:,"Δύο κόκκινους περίβλεπτους φανούς σε κατακόρυφη θέση, πλευρικούς και κορώνης.",Δύο κόκκινους περίβλεπτους φανούς σε κατακόρυφη θέση και τους φανούς αγκυροβολίας.,Ένα εφίστιο στην πλώρη και ένα στην πρύμνη.,B
Περίβλεπτος φανός είναι:,Φανός 225 μοιρών στην πλώρη του πλοίου.,Φανός ορατός σε όλον τον ορίζοντα.,Φανός 135 μοιρών.,B
Ένα ρυμουλκούμενο πλοίο τη νύχτα επιδεικνύει:,"Έναν εφίστιο, πλευρικούς φανούς και φανό κορώνης.",Πλευρικούς φανούς και φανό κορώνης.,Δύο φανούς ορατούς σε όλον τον ορίζοντα.,B
Κάθε μηχανοκίνητο πλοίο οφείλει να απομακρύνεται:,Από ιστιοφόρο.,"Από ακυβέρνητο πλοίο, περιορισμένης ικανότητας χειρισμών, αλιευτικό και ιστιοφόρο.",Μόνο από ακυβέρνητο.,B
"Η κυκλοφορία των ταχυπλόων σκαφών, με εξαίρεση τα θαλάσσια μοτοποδήλατα και τα HOVER CRAFTS, απαγορεύεται:","Σε απόσταση μικρότερη των 200μ. από το εξωτερικό μέρος των πλωτών σημαντήρων που επισημαίνουν τα συνήθη όρια των κολυμβητών, σε απόσταση μικρότερη των 300μ. από το σύνηθες όριο των κολυμβητών σε περιοχές που δεν υπάρχουν πλωτοί σημαντήρες και σε απόσταση μικρότερη των 500μ. από την ακτογραμμή σε περιοχές χωρίς κολυμβητές με ταχύτητα μεγαλύτερη των 5 κόμβων.","Σε απόσταση μικρότερη των 100μ. από το εξωτερικό μέρος των πλωτών σημαντήρων που επισημαίνουν τα συνήθη όρια των κολυμβητών, σε απόσταση μικρότερη των 200μ. από το σύνηθες όριο των κολυμβητών σε περιοχές που δεν υπάρχουν πλωτοί σημαντήρες και σε απόσταση μικρότερη των 200μ. από την ακτογραμμή σε περιοχές χωρίς κολυμβητές με ταχύτητα μεγαλύτερη των 5 κόμβων.",Σε απόσταση μικρότερη των 100μ. από τους λουόμενους.,B
Ο Διεθνής Κανονισμός προς Αποφυγή Συγκρούσεων στη θάλασσα (Δ.Κ.Α.Σ) ισχύει:,Στις θάλασσες όλων των κρατών.,Σε όλες τις θάλασσες και λιμάνια της Ελλάδας.,Σε όλα τα πλάτη και μήκη της υδρογείου.,C
